|city_name|country_code|data|lat|lon|state_code|timezone
27|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.5, 'timestamp_local': '2024-03-21T04:28:00', 'timestamp_utc': '2024-03-21T08:28:00', 'ts': 1711009680}|35.5|-78.5|NC|America/New_York
28|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.5, 'timestamp_local': '2024-03-21T04:29:00', 'timestamp_utc': '2024-03-21T08:29:00', 'ts': 1711009740}|35.5|-78.5|NC|America/New_York
29|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.5, 'timestamp_local': '2024-03-21T04:30:00', 'timestamp_utc': '2024-03-21T08:30:00', 'ts': 1711009800}|35.5|-78.5|NC|America/New_York
30|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.5, 'timestamp_local': '2024-03-21T04:31:00', 'timestamp_utc': '2024-03-21T08:31:00', 'ts': 1711009860}|35.5|-78.5|NC|America/New_York
31|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.5, 'timestamp_local': '2024-03-21T04:32:00', 'timestamp_utc': '2024-03-21T08:32:00', 'ts': 1711009920}|35.5|-78.5|NC|America/New_York
32|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.5, 'timestamp_local': '2024-03-21T04:33:00', 'timestamp_utc': '2024-03-21T08:33:00', 'ts': 1711009980}|35.5|-78.5|NC|America/New_York
33|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.5, 'timestamp_local': '2024-03-21T04:34:00', 'timestamp_utc': '2024-03-21T08:34:00', 'ts': 1711010040}|35.5|-78.5|NC|America/New_York
34|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.4, 'timestamp_local': '2024-03-21T04:35:00', 'timestamp_utc': '2024-03-21T08:35:00', 'ts': 1711010100}|35.5|-78.5|NC|America/New_York
35|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.4, 'timestamp_local': '2024-03-21T04:36:00', 'timestamp_utc': '2024-03-21T08:36:00', 'ts': 1711010160}|35.5|-78.5|NC|America/New_York
36|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.4, 'timestamp_local': '2024-03-21T04:37:00', 'timestamp_utc': '2024-03-21T08:37:00', 'ts': 1711010220}|35.5|-78.5|NC|America/New_York
37|Four Oaks|US|{'precip': 0, 'snow': 0, 'temp': 10.4, 'timestamp_local': '2024-03-21T04:38:00', 'timestamp_utc': '2024-03-21T08:38:00', 'ts': 1711010280}|35.5|-78.5|NC|America/New_York
